Location,Latitude,Longitude
Anuradhapura,8.3114,80.4037
Batticaloa Area,7.717,81.7
Colombo,6.9271,79.8612
Dambulla Area,7.8731,80.651
Ella,6.8667,81.0466
Galle Area,6.0535,80.221
Hambantota Area,6.1241,81.1185
Hatton Area,6.8916,80.5955
Jaffna Area,9.6615,80.0255
Kalpitiya Area,8.233,79.7667
Kandy Area,7.2906,80.6337
Kilinochchi Area,9.3961,80.3982
Kurunegala,7.4863,80.3623
Matara Area,5.9549,80.555
Nuwara Eliya,6.9497,80.7891
Pottuvil Area,6.8767,81.8306
Talaimannar Area,9.1,79.7333
Trincomalee,8.5874,81.2152
