Cluster_Name,Adventure,Architecture,Beach,Birding,Culture,Hiking,History,Museum,Nature,Park,Relax,Religious,Safari,Shopping,Viewpoint,Hilly,Off-Road,Paved,Num_Places,Avg_Distance
Anuradhapura,0,0.02173913,0,0.02173913,0.02173913,0.02173913,0.413043478,0.043478261,0.152173913,0.02173913,0.043478261,0.173913043,0,0.02173913,0.043478261,0.108695652,0.173913043,0.717391304,0.625,0.437584271
Batticaloa Area,0.148148148,0.037037037,0.222222222,0,0,0.037037037,0.074074074,0,0.185185185,0.037037037,0,0.148148148,0.037037037,0.037037037,0.037037037,0.074074074,0.37037037,0.555555556,0.229166667,0.721507684
Colombo,0.015625,0.046875,0.171875,0.03125,0.03125,0,0.125,0.046875,0.125,0.0625,0.078125,0.21875,0,0.046875,0,0.015625,0.125,0.859375,1,0.14578686
Dambulla Area,0,0.018518519,0,0,0.018518519,0.037037037,0.481481481,0.037037037,0.166666667,0,0.055555556,0.018518519,0.111111111,0,0.055555556,0.074074074,0.333333333,0.592592593,0.791666667,0.427961284
Ella,0.058823529,0.039215686,0,0,0.078431373,0.176470588,0.137254902,0.019607843,0.176470588,0,0.058823529,0.078431373,0,0,0.176470588,0.392156863,0.098039216,0.509803922,0.729166667,0.545307717
Galle Area,0.000069767442,0.000023255814,0.355813953,0.0023255814,0,0.0023255814,0.00139534884,0.0093023256,0.00209302326,0,0,0.11627907,0,0.023255814,0.0023255814,0.0011627907,0.00255813953,0.0627906977,0.5625,0.316049807
Hambantota Area,0,0.024390244,0.248780488,0.073170732,0,0.024390244,0.170731707,0.048780488,0.268292683,0,0.024390244,0.146341463,0.12195122,0,0.048780488,0.024390244,0.390243902,0.585365854,0.520833333,0.715726941
Hatton Area,0.037037037,0,0,0.018518519,0.037037037,0.185185185,0.018518519,0.055555556,0.333333333,0,0.12962963,0.092592593,0,0.018518519,0.074074074,0.462962963,0.259259259,0.277777778,0.791666667,0.263378531
Jaffna Area,0.046511628,0,0.262790698,0,0.046511628,0,0.209302326,0.046511628,0.186046512,0.023255814,0.046511628,0.11627907,0,0.023255814,0.093023256,0.023255814,0.302325581,0.674418605,0.5625,1
Kalpitiya Area,0.128205128,0,0.128205128,0.076923077,0.076923077,0,0.076923077,0,0.256410256,0,0.051282051,0.128205128,0,0,0.076923077,0,0.487179487,0.512820513,0.479166667,0.164783304
Kandy Area,0.048780488,0.048780488,0,0,0,0.195121951,0.12195122,0.12195122,0.12195122,0.024390244,0.024390244,0.219512195,0,0,0.073170732,0.512195122,0.073170732,0.414634146,0.520833333,0.246614774
Kilinochchi Area,0,0,0.125,0.125,0.0625,0,0.1875,0.0625,0.3125,0,0,0.0625,0,0,0.0625,0,0.5,0.5,0,0.80344117
Kurunegala,0,0,0,0.027027027,0.054054054,0,0.189189189,0.054054054,0.243243243,0.027027027,0.081081081,0.216216216,0,0.027027027,0.081081081,0.135135135,0.216216216,0.648648649,0.4375,0.164373852
Matara Area,0.046511628,0,0.441860465,0.023255814,0.046511628,0.023255814,0.093023256,0.023255814,0.139534884,0,0,0.069767442,0.023255814,0,0.069767442,0.11627907,0.209302326,0.674418605,0.5625,0.473755615
Nuwara Eliya,0.018518519,0,0,0,0.092592593,0.203703704,0.037037037,0.037037037,0.314814815,0.037037037,0.074074074,0.018518519,0.018518519,0.018518519,0.12962963,0.388888889,0.203703704,0.407407407,0.791666667,0.419584878
Pottuvil Area,0.157894737,0,0.263157895,0,0.052631579,0.105263158,0.052631579,0,0.105263158,0,0,0.157894737,0.105263158,0,0,0.157894737,0.526315789,0.315789474,0.0625,0.919823958
Talaimannar Area,0,0,0.095238095,0.047619048,0.047619048,0,0.238095238,0,0.142857143,0,0.047619048,0.19047619,0.095238095,0,0.095238095,0,0.428571429,0.571428571,0.104166667,0.614522124
Trincomalee,0.058823529,0,0.264705882,0.029411765,0.058823529,0,0.117647059,0.029411765,0.176470588,0,0.029411765,0.117647059,0,0,0.117647059,0.088235294,0.352941176,0.558823529,0.375,0.604088778
close_beach,0,0,0.253213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101002
long_beach,0,0,0.253213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801002
