Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating,real_distance
1,Sri Dalada Maligawa (Temple of the Tooth),Kandy,Central,Religious,7.2936,80.6413,Paved,2.0,4.9,119.2284
2,Royal Botanical Gardens Peradeniya,Peradeniya,Central,Nature,7.2716,80.5966,Hilly,3.0,4.8,115.99010000000001
3,Kandy Lake Promenade,Kandy,Central,Relax,7.2905,80.6409,Paved,1.5,4.6,117.40180000000001
4,Bahirawakanda Buddha Statue,Kandy,Central,Religious,7.2945,80.626,Hilly,1.5,4.7,117.75319999999999
5,Udawattakele Forest Reserve,Kandy,Central,Nature,7.2974,80.6384,Off-Road,2.5,4.6,116.2199
6,Ceylon Tea Museum,Hanthana,Central,Museum,7.249,80.625,Hilly,1.5,4.6,124.3825
7,Kandy Garrison Cemetery,Kandy,Central,History,7.2958,80.64,Paved,1.0,4.4,116.9789
8,Arthur’s Seat Viewpoint,Kandy,Central,Viewpoint,7.2902,80.6415,Hilly,1.0,4.5,117.8099
9,Lankatilaka Viharaya,Udunuwara,Central,Religious,7.2847,80.553,Paved,1.5,4.6,114.1958
10,Gadaladeniya Viharaya,Pilimathalawa,Central,Religious,7.2813,80.5617,Hilly,1.5,4.6,113.6554
11,Embekka Devalaya,Udunuwara,Central,Religious,7.2769,80.5672,Paved,1.5,4.5,99.067
12,National Railway Museum,Kadugannawa,Central,Museum,7.2576,80.506,Paved,1.5,4.5,95.73060000000001
13,Kadugannawa Viewpoint,Kadugannawa,Central,Viewpoint,7.2562,80.4931,Hilly,1.0,4.4,88.9041
14,Kandy National Museum,Kandy,Central,Museum,7.294,80.641,Paved,1.5,4.5,116.78880000000001
15,Neligala International Buddhist Center,Wadugama,Central,Religious,7.3605,80.522,Hilly,2.0,4.7,100.79639999999999
16,Ambuluwawa Biodiversity Complex & Tower,Gampola,Central,Architecture,7.117,80.575,Hilly,2.0,4.7,111.9008
17,Victoria Golf & Country Resort,Digana,Central,Adventure,7.311,80.801,Paved,3.0,4.6,143.2159
18,Victoria Reservoir & Dam,Teldeniya,Central,Nature,7.32,80.787,Paved,2.5,4.5,139.927
19,Hunas Falls,Elkaduwa,Central,Hiking,7.423,80.656,Hilly,2.0,4.6,134.194
20,Hanthana Mountain Range,Hanthana,Central,Hiking,7.249,80.62,Hilly,3.0,4.6,119.6876
21,Sembuwatta Lake,Elkaduwa,Central,Nature,7.553,80.714,Hilly,3.0,4.7,146.5349
22,Riverston Plateau,Matale,Central,Hiking,7.502,80.703,Hilly,4.0,4.7,140.2248
23,Mini World’s End (Pitawala),Matale,Central,Viewpoint,7.515,80.704,Hilly,2.5,4.6,139.07379999999998
24,Knuckles Mountain Range (Dumbara),Matale,Central,Hiking,7.445,80.781,Hilly,6.0,4.8,145.6766
25,Meemure Village,Meemure,Central,Adventure,7.418,80.812,Off-Road,5.0,4.7,152.2851
26,Bambarakiri Ella,Rattota,Central,Hiking,7.548,80.735,Hilly,2.0,4.6,150.2194
27,Sera Ella,Pothatawela,Central,Hiking,7.541,80.729,Hilly,2.0,4.6,150.2194
28,Aluvihare Rock Temple,Matale,Central,Religious,7.478,80.623,Hilly,1.5,4.6,125.2976
29,Nalanda Gedige,Naula,Central,History,7.6169,80.6623,Paved,1.5,4.6,123.31830000000001
30,Sigiriya Rock Fortress,Sigiriya,Central,History,7.957,80.7603,Paved,4.0,4.9,149.29229999999998
31,Sigiriya Museum,Sigiriya,Central,Museum,7.955,80.759,Paved,1.5,4.5,149.2152
32,Pidurangala Rock,Sigiriya,Central,Hiking,7.947,80.75,Hilly,3.0,4.8,148.11010000000002
33,Dambulla Cave Temple,Dambulla,Central,Religious,7.8596,80.6517,Paved,2.5,4.8,132.0848
34,Ibbankatuwa Megalithic Tombs,Dambulla,Central,History,7.946,80.669,Off-Road,1.5,4.5,141.91729999999998
35,Popham’s Arboretum,Dambulla,Central,Nature,7.873,80.674,Off-Road,2.0,4.4,136.0231
36,Jathika Namal Uyana,Dambulla,Central,Nature,7.96,80.71,Off-Road,3.0,4.5,144.2713
37,Wasgamuwa National Park,Naula,Central,Safari,7.762,80.887,Off-Road,6.0,4.7,160.5909
38,Kaludiya Pokuna Forest Monastery,Naula,Central,History,7.56,80.639,Off-Road,2.0,4.5,121.9408
39,Kotmale Dam,Kotmale,Central,Nature,7.016,80.612,Paved,2.5,4.5,131.12
40,Kotmale Mahaweli Maha Seya,Kotmale,Central,Religious,7.064,80.618,Hilly,1.5,4.5,125.7581
41,Kotmale Hanging Bridge,Palugama,Central,Architecture,7.026,80.646,Paved,1.5,4.4,136.9615
42,Ramboda Falls,Ramboda,Central,Hiking,7.067,80.706,Hilly,2.0,4.7,144.4325
43,Bluefield Tea Gardens,Ramboda,Central,Museum,7.058,80.67,Paved,1.5,4.6,143.36939999999998
44,Labookellie Tea Centre (Damro),Labookellie,Central,Museum,7.05,80.667,Paved,1.5,4.6,142.4805
45,Gregory Lake,Nuwara Eliya,Central,Relax,6.97,80.782,Paved,2.0,4.6,160.74460000000002
46,Victoria Park,Nuwara Eliya,Central,Park,6.971,80.789,Paved,1.5,4.6,161.7608
47,Hakgala Botanical Gardens,Hakgala,Central,Nature,6.951,80.817,Hilly,2.5,4.7,164.43929999999997
48,Seetha Amman Temple,Seetha Eliya,Central,Religious,6.951,80.809,Paved,1.0,4.5,163.2081
49,Galway’s Land National Park,Nuwara Eliya,Central,Nature,6.972,80.777,Off-Road,1.5,4.4,159.7862
50,Pidurutalagala (Mount Pedro),Nuwara Eliya,Central,Hiking,6.98,80.77,Hilly,3.0,4.7,158.38989999999998
51,Moon Plains (Sandathenna),Nuwara Eliya,Central,Viewpoint,6.971,80.802,Hilly,2.0,4.6,164.4531
52,Horton Plains National Park,Ohiya,Central,Nature,6.802,80.814,Off-Road,6.0,4.8,183.69310000000002
53,World’s End Viewpoint,Horton Plains,Central,Hiking,6.796,80.799,Hilly,3.0,4.8,183.0549
54,Baker’s Falls,Horton Plains,Central,Hiking,6.788,80.815,Hilly,2.0,4.7,184.8845
55,Ambewela Farm (Highland Dairy),Ambewela,Central,Culture,6.904,80.727,Paved,2.0,4.5,151.7425
56,New Zealand Farm,Ambewela,Central,Culture,6.913,80.715,Paved,2.0,4.5,147.7713
57,Lover’s Leap Waterfall,Nuwara Eliya,Central,Hiking,6.97,80.806,Hilly,1.5,4.5,163.9306
58,Pedro Tea Estate & Factory,Nuwara Eliya,Central,Museum,6.972,80.806,Paved,1.5,4.6,164.0915
59,Bomburu Ella Waterfall,Udu Pussellawa,Central,Hiking,6.933,80.788,Hilly,2.0,4.6,160.26870000000002
60,St. Clair’s Falls,Talawakelle,Central,Nature,6.951,80.533,Hilly,2.0,4.6,109.53389999999999
61,Devon Falls,Talawakelle,Central,Nature,6.959,80.499,Hilly,2.0,4.6,105.1546
62,Aberdeen Falls,Ginigathhena,Central,Hiking,6.99,80.383,Hilly,2.5,4.6,83.60119999999999
63,Laxapana Falls,Maskeliya,Central,Hiking,6.906,80.503,Hilly,2.5,4.6,120.6913
64,Castlereagh Reservoir,Hatton,Central,Relax,6.834,80.536,Paved,2.5,4.5,138.5075
65,Maussakelle Reservoir,Maskeliya,Central,Relax,6.809,80.487,Paved,2.5,4.5,142.79160000000002
66,Adam’s Peak (Sri Pada) via Nallathanniya,Nallathanniya,Central,Hiking,6.809,80.499,Hilly,6.0,4.8,142.7996
67,Nuwara Eliya Golf Club,Nuwara Eliya,Central,Relax,6.97,80.766,Paved,3.0,4.5,159.1706
68,Gregory Lake Boating,Nuwara Eliya,Central,Adventure,6.967,80.782,Paved,2.0,4.5,160.5404
69,Single Tree Hill Viewpoint,Nanu Oya,Central,Hiking,6.966,80.767,Hilly,2.0,4.5,158.57139999999998
70,Kande Ela Reservoir,Nuwara Eliya,Central,Nature,6.938,80.787,Paved,2.0,4.4,159.72670000000002
71,Nuwara Eliya Central Market,Nuwara Eliya,Central,Culture,6.971,80.764,Paved,1.0,4.3,159.3275
72,Kandy War Cemetery,Kandy,Central,History,7.287,80.647,Paved,1.0,4.4,118.4397
73,Galmaduwa Viharaya (Temple),Kundasale,Central,History,7.329,80.67,Hilly,1.5,4.4,118.9682
74,Wales Park (Royal Palace Park),Kandy,Central,Park,7.291,80.638,Paved,1.5,4.5,117.0517
75,Ceylon Tea Trails Lookouts,Hatton,Central,Relax,6.826,80.541,Paved,2.5,4.6,142.3319
76,Taylor’s Seat Viewpoint,Maskeliya,Central,Viewpoint,6.834,80.51,Hilly,1.5,4.5,142.6117
1,Jaya Sri Maha Bodhi,Anuradhapura,North Central,Religious,8.3335,80.403,Paved,1.5,4.9,187.4801
2,Ruwanweliseya Stupa,Anuradhapura,North Central,Religious,8.3505,80.4038,Paved,2.0,4.9,189.9865
3,Jetavanaramaya Stupa,Anuradhapura,North Central,History,8.3385,80.4025,Paved,2.0,4.8,187.61339999999998
4,Abhayagiri Stupa,Anuradhapura,North Central,History,8.372,80.402,Paved,2.0,4.7,191.2261
5,Thuparamaya Dagoba,Anuradhapura,North Central,Religious,8.3567,80.4019,Paved,1.5,4.7,189.7633
