Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
1,Wilpattu National Park (Puttalam Entrance),Eluwankulama,North Western,Safari,8.4560,79.9950,Off-Road,6,4.8
2,Kalpitiya Beach,Kalpitiya,North Western,Beach,8.2290,79.7690,Paved,4,4.6
3,Kalpitiya Lagoon,Kalpitiya,North Western,Nature,8.2460,79.7700,Off-Road,3,4.6
4,Dutch Fort (Kalpitiya),Kalpitiya,North Western,History,8.2320,79.7650,Paved,1.5,4.4
5,Kite Surfing - Kalpitiya,Kalpitiya,North Western,Adventure,8.2390,79.7640,Off-Road,4,4.7
6,Dolphin & Whale Watching (Kalpitiya),Kalpitiya,North Western,Adventure,8.2400,79.7600,Off-Road,4,4.6
7,Alankuda Beach,Alankuda,North Western,Beach,8.1280,79.7140,Paved,4,4.5
8,Kudawa Beach (Kalpitiya Peninsula),Kudawa,North Western,Beach,8.2450,79.7350,Off-Road,3.5,4.4
9,Baththalangunduwa Island,Baththalangunduwa,North Western,Adventure,8.2660,79.7210,Off-Road,6,4.5
10,Dutch Bay (Puttalam Lagoon Side),Kalpitiya,North Western,Nature,8.2400,79.7700,Off-Road,2.5,4.4
11,St. Anne’s Shrine,Talawila,North Western,Religious,8.0650,79.7090,Paved,2,4.7
12,Talawila Beach,Talawila,North Western,Beach,8.0660,79.7070,Paved,3.5,4.4
13,Munneswaram Kovil,Chilaw,North Western,Religious,7.5880,79.7990,Paved,2,4.6
14,St. Mary’s Cathedral (Chilaw),Chilaw,North Western,Religious,7.5750,79.7950,Paved,1.5,4.4
15,Chilaw Beach Park,Chilaw,North Western,Beach,7.5740,79.7940,Paved,3,4.3
16,Anawilundawa Wetland Sanctuary,Anawilundawa,North Western,Birding,7.6760,79.8250,Off-Road,3.5,4.6
17,Senanayake Samudraya View (Puttalam side),Puttalam,North Western,Viewpoint,8.0200,79.8300,Paved,1.5,4.2
18,Puttalam Lagoon,Puttalam,North Western,Nature,8.0330,79.8290,Off-Road,3,4.4
19,Puttalam Salt Pans (Palavi area),Palavi,North Western,Culture,8.0360,79.8350,Paved,2.5,4.3
20,Kurunegala Elephant Rock (Ethagala),Kurunegala,North Western,Viewpoint,7.4860,80.3630,Hilly,2,4.6
21,Athugala Buddha Statue,Kurunegala,North Western,Religious,7.4865,80.3625,Hilly,1.5,4.6
22,Kurunegala Lake (Wewa) Walk,Kurunegala,North Western,Relax,7.4830,80.3570,Paved,1.5,4.4
23,Kurunegala Clock Tower Area,Kurunegala,North Western,History,7.4868,80.3620,Paved,1,4.2
24,Ridi Viharaya,Ridigama,North Western,Religious,7.5220,80.4370,Hilly,2,4.7
