Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
1,Sri Pada (Adam’s Peak) via Nallathanniya,Nallathanniya,Sabaragamuwa,Hiking,6.8090,80.4990,Hilly,6,4.9
2,Sri Pada Sacred Area (Summit),Sri Pada,Sabaragamuwa,Religious,6.8096,80.4992,Hilly,2,4.9
3,Peak Wilderness Sanctuary,Maskeliya,Sabaragamuwa,Nature,6.8200,80.4800,Off-Road,4,4.7
4,Castlereagh Reservoir (Sabaragamuwa side),Hatton/Maskeliya,Sabaragamuwa,Relax,6.8340,80.5360,Paved,2.5,4.6
5,Maussakelle Reservoir (near Maskeliya),Maskeliya,Sabaragamuwa,Relax,6.8090,80.4870,Paved,2.5,4.5
6,Laxapana Falls,Maskeliya,Sabaragamuwa,Nature,6.9060,80.5030,Hilly,2.5,4.6
7,Aberdeen Falls,Ginigathhena,Sabaragamuwa,Hiking,6.9900,80.3830,Hilly,2.5,4.6
8,St. Clair’s Falls,Talawakelle,Sabaragamuwa,Nature,6.9510,80.5330,Hilly,2,4.6
9,Bopath Ella Falls,Kuruwita,Sabaragamuwa,Nature,6.8060,80.3780,Hilly,2,4.5
10,Kuruwita Erathna Sri Pada Trailhead,Erathna,Sabaragamuwa,Hiking,6.7890,80.4000,Hilly,6,4.6
11,Udawalawe National Park (Sabaragamuwa Gate),Embilipitiya,Sabaragamuwa,Safari,6.4740,80.8893,Off-Road,6,4.8
12,Udawalawe Elephant Transit Home,Ethanawala,Sabaragamuwa,Nature,6.4745,80.8850,Paved,2,4.7
13,Sankapala Raja Maha Viharaya,Kuruwita,Sabaragamuwa,Religious,6.8200,80.3830,Hilly,2.5,4.6
14,Batadombalena Cave,Kuruwita,Sabaragamuwa,History,6.8280,80.3470,Hilly,2.5,4.6
15,Belilena Cave,Kitulgala (near boundary),Sabaragamuwa,Adventure,6.9890,80.4140,Hilly,3,4.5
16,Kitulgala White Water Rafting Zone,Kitulgala,Sabaragamuwa,Adventure,6.9895,80.4150,Off-Road,4,4.7
17,Kanneliya? (not Sabaragamuwa) placeholder removed,,-,-,0,0,-,0,0
18,Pinnawala Elephant Orphanage,Pinnawala,Sabaragamuwa,Nature,7.3000,80.3880,Paved,3,4.6
19,Pinnawala Open Zoo (Elephant Safari Park),Pinnawala,Sabaragamuwa,Nature,7.3040,80.3890,Paved,3,4.4
20,Millennium Elephant Foundation,Rambukkana,Sabaragamuwa,Nature,7.3200,80.3900,Paved,2.5,4.5
21,Rambukkana Railway Station Heritage Stop,Rambukkana,Sabaragamuwa,History,7.3230,80.3910,Paved,1,4.1
22,Alagalla Mountain Range (Sabaragamuwa access),Mawanella,Sabaragamuwa,Hiking,7.2550,80.4800,Hilly,5,4.6
23,Elephant Bathing Point (Pinnawala River),Pinnawala,Sabaragamuwa,Relax,7.3010,80.3870,Paved,2,4.4
24,Belihuloya River & Trails,Belihuloya,Sabaragamuwa,Nature,6.7130,80.7860,Hilly,3,4.6
25,Belihuloya Samanalawewa Viewpoint,Belihuloya,Sabaragamuwa,Viewpoint,6.7090,80.7820,Hilly,2,4.6
26,Samanalawewa Reservoir,Belihuloya,Sabaragamuwa,Nature,6.7070,80.7670,Paved,2.5,4.6
27,Baker’s Bend (Belihuloya) Scenic Stop,Belihuloya,Sabaragamuwa,Viewpoint,6.7100,80.7800,Paved,1.5,4.4
28,Bambarakanda Falls,Kalupahana,Sabaragamuwa,Nature,6.7720,80.8700,Hilly,2.5,4.8
29,Lanka Ella Falls,Kalupahana,Sabaragamuwa,Hiking,6.7900,80.8660,Hilly,2.5,4.6
30,Surathali Ella,Kalupahana,Sabaragamuwa,Nature,6.7800,80.8600,Hilly,2,4.5
31,Hawagala Mountain Viewpoint,Balangkoda,Sabaragamuwa,Viewpoint,6.6500,80.7000,Hilly,2.5,4.5
32,Balangkoda Town Market,Balangkoda,Sabaragamuwa,Shopping,6.6550,80.6940,Paved,1.5,4.1
33,Balangkoda Lake Walk,Balangkoda,Sabaragamuwa,Relax,6.6600,80.7000,Paved,1.5,4.2
34,Balangkoda Ancient Cave Sites (local circuit),Balangkoda,Sabaragamuwa,History,6.6400,80.7100,Off-Road,3,4.3
35,Pahanthudawa Waterfall,Belihuloya,Sabaragamuwa,Hiking,6.7040,80.7640,Hilly,2.5,4.6
36,Bambara Kanda Trailhead Walk,Kalupahana,Sabaragamuwa,Hiking,6.7715,80.8695,Hilly,2,4.5
37,Ratnapura National Museum,Ratnapura,Sabaragamuwa,Museum,6.6810,80.4040,Paved,1.5,4.4
38,Gem Museum (Ratnapura),Ratnapura,Sabaragamuwa,Museum,6.6815,80.4050,Paved,1.5,4.3
39,Ratnapura Gem Mining Experience (local),Ratnapura,Sabaragamuwa,Culture,6.6800,80.4100,Off-Road,3,4.5
40,Maha Saman Devalaya,Ratnapura,Sabaragamuwa,Religious,6.6818,80.4022,Paved,1.5,4.6
41,Batagama Raja Maha Viharaya,Ratnapura,Sabaragamuwa,Religious,6.6900,80.4020,Paved,1.5,4.4
42,Pahanthudawa Natural Pool Area,Belihuloya,Sabaragamuwa,Nature,6.7045,80.7645,Hilly,2,4.5
43,Sinharaja Forest Reserve (Deniyaya side access),Deniyaya,Sabaragamuwa,Nature,6.4080,80.4680,Off-Road,6,4.8
44,Sinharaja Rainforest (Kudawa entrance),Kudawa,Sabaragamuwa,Nature,6.4280,80.4610,Off-Road,6,4.8
45,Sinharaja Bird Watching Trails,Kudawa,Sabaragamuwa,Birding,6.4300,80.4600,Off-Road,5,4.7
46,Sinharaja Forest Water Streams (local),Kudawa,Sabaragamuwa,Nature,6.4290,80.4620,Off-Road,4,4.6
47,Reinhard (Rekawa?) placeholder removed,,-,-,0,0,-,0,0
48,Morningside Forest Reserve,Kalawana,Sabaragamuwa,Nature,6.4160,80.5480,Off-Road,5,4.7
49,Waturawa Ella Waterfall,Kalawana,Sabaragamuwa,Nature,6.4700,80.5200,Hilly,2.5,4.5
50,Bopath Ella (Ratnapura District),Kuruwita,Sabaragamuwa,Nature,6.8065,80.3785,Hilly,2,4.5
