Place_ID,Place_Name,City,Province,Category,Latitude,Longitude,Terrain_Type,Time_Needed (H),Rating
1,Gangaramaya Temple,Colombo,Western,Religious,6.9149,79.8587,Paved,1.5,4.7
2,Galle Face Green,Colombo,Western,Relax,6.9275,79.8447,Paved,2,4.6
3,Independence Memorial Hall,Colombo,Western,History,6.9009,79.855,Paved,1.5,4.6
4,National Museum of Colombo,Colombo,Western,Museum,6.9147,79.8578,Paved,2,4.7
5,Viharamahadevi Park,Colombo,Western,Park,6.9106,79.8608,Paved,2,4.5
6,Colombo Lotus Tower,Colombo,Western,Architecture,6.9385,79.8551,Paved,1.5,4.6
7,Pettah Market,Colombo,Western,Shopping,6.9395,79.8539,Paved,2,4.4
8,Old Dutch Hospital Shopping Precinct,Colombo,Western,Shopping,6.933,79.8426,Paved,1.5,4.5
9,Jami Ul-Alfar (Red Mosque),Colombo,Western,Religious,6.9373,79.8539,Paved,1,4.6
10,Wolvendaal Church,Colombo,Western,History,6.941,79.8587,Paved,1,4.5
11,BMICH (Bandaranaike Memorial International Conference Hall),Colombo,Western,Culture,6.9065,79.8697,Paved,1.5,4.4
12,Beira Lake Promenade,Colombo,Western,Relax,6.9262,79.8488,Paved,1.5,4.4
13,Colombo Lighthouse,Colombo,Western,History,6.9396,79.8425,Paved,1,4.4
14,Old Parliament Building,Colombo,Western,History,6.9327,79.8437,Paved,1,4.5
15,Sambodhi Chaithya,Colombo,Western,Religious,6.9399,79.8427,Paved,1,4.5
16,National Art Gallery,Colombo,Western,Museum,6.9099,79.8604,Paved,1.5,4.4
17,Independence Arcade,Colombo,Western,Shopping,6.9023,79.8618,Paved,1.5,4.4
18,Colombo Racecourse Promenade,Colombo,Western,Relax,6.9039,79.8614,Paved,1.5,4.4
19,National Planetarium,Colombo,Western,Museum,6.8896,79.8714,Paved,1.5,4.4
20,Dehiwala Zoological Gardens,Dehiwala,Western,Nature,6.8536,79.8657,Paved,3,4.6
21,Mount Lavinia Beach,Mount Lavinia,Western,Beach,6.8352,79.8611,Paved,3,4.6
22,Bellanwila Rajamaha Viharaya,Bellanwila,Western,Religious,6.8398,79.8896,Paved,1.5,4.6
23,Weras Ganga Park,Bellanwila,Western,Park,6.8299,79.887,Paved,1.5,4.4
24,Attidiya Bird Sanctuary,Attidiya,Western,Birding,6.822,79.9005,Off-Road,2.5,4.3
25,Beddagana Wetland Park,Battaramulla,Western,Nature,6.8794,79.9164,Off-Road,2.5,4.5
26,Diyatha Uyana,Battaramulla,Western,Park,6.8977,79.9264,Paved,2,4.6
27,Parliament Complex,Sri Jayawardenepura Kotte,Western,Architecture,6.8943,79.9185,Paved,1.5,4.5
28,Talangama Wetlands,Talangama,Western,Birding,6.8808,79.9418,Off-Road,2.5,4.5
